"025M", "025M", 64.0, 63.0, -70.0, -72.0, null
"025N", "025N", 64.0, 63.0, -68.0, -70.0, null
"025O", "025O", 64.0, 63.0, -66.0, -68.0, null
"025P", "025P", 64.0, 63.0, -64.0, -66.0, null
"026A", "026A", 65.0, 64.0, -64.0, -66.0, null
"026B", "026B", 65.0, 64.0, -66.0, -68.0, null
"026C", "026C", 65.0, 64.0, -68.0, -70.0, null
"026D", "026D", 65.0, 64.0, -70.0, -72.0, null
"026E", "026E", 66.0, 65.0, -70.0, -72.0, null
"026F", "026F", 66.0, 65.0, -68.0, -70.0, null
"026G", "026G", 66.0, 65.0, -66.0, -68.0, null
"026H", "026H", 66.0, 65.0, -64.0, -66.0, null
"026I", "026I", 67.0, 66.0, -64.0, -66.0, null
"026J", "026J", 67.0, 66.0, -66.0, -68.0, null
"026K", "026K", 67.0, 66.0, -68.0, -70.0, null
"026L", "026L", 67.0, 66.0, -70.0, -72.0, null
"026M", "026M", 68.0, 67.0, -70.0, -72.0, null
"026N", "026N", 68.0, 67.0, -68.0, -70.0, null
"026O", "026O", 68.0, 67.0, -66.0, -68.0, null
"026P", "026P", 68.0, 67.0, -64.0, -66.0, null
"027A", "027A", 69.0, 68.0, -64.0, -68.0, null
"027B", "027B", 69.0, 68.0, -68.0, -72.0, null
"027C", "027C", 70.0, 69.0, -68.0, -72.0, null
"027D", "027D", 70.0, 69.0, -64.0, -68.0, null
"027E", "027E", 71.0, 70.0, -64.0, -68.0, null
"027F", "027F", 71.0, 70.0, -68.0, -72.0, null
"027G", "027G", 72.0, 71.0, -68.0, -72.0, null
"027H", "027H", 72.0, 71.0, -64.0, -68.0, null
"028A", "028A", 73.0, 72.0, -64.0, -68.0, null
"028B", "028B", 73.0, 72.0, -68.0, -72.0, null
"028C", "028C", 74.0, 73.0, -68.0, -72.0, null
"028D", "028D", 74.0, 73.0, -64.0, -68.0, null
"028F", "028F", 75.0, 74.0, -68.0, -72.0, null
"029G", "029G", 80.0, 79.0, -68.0, -72.0, null
"030L", "030L", 43.0, 42.0, -78.0, -80.0, null
"030M", "030M", 44.0, 43.0, -78.0, -80.0, null
"030N", "030N", 44.0, 43.0, -76.0, -78.0, null
"031A", "031A", 45.0, 44.0, -72.0, -74.0, null
"031B", "031B", 45.0, 44.0, -74.0, -76.0, null
"031C", "031C", 45.0, 44.0, -76.0, -78.0, null
"031D", "031D", 45.0, 44.0, -78.0, -80.0, null
"031E", "031E", 46.0, 45.0, -78.0, -80.0, null
"031F", "031F", 46.0, 45.0, -76.0, -78.0, null
"031G", "031G", 46.0, 45.0, -74.0, -76.0, null
"031H", "031H", 46.0, 45.0, -72.0, -74.0, null
"031I", "031I", 47.0, 46.0, -72.0, -74.0, null
"031J", "031J", 47.0, 46.0, -74.0, -76.0, null
"031K", "031K", 47.0, 46.0, -76.0, -78.0, null
"031L", "031L", 47.0, 46.0, -78.0, -80.0, null
